n:	 c:	 s:	 t:
100	544	672	23379082
100	540	672	10188063
100	544	672	11209507
100	543	672	6016716
100	534	672	15385559
100	547	672	36302971
100	548	672	20733406
100	549	672	26628812
100	539	672	16408507
100	536	672	33621073
100	543	672	15024254
100	547	672	11174111
100	541	672	18947970
100	531	672	4985796
100	545	672	4131476
100	550	672	26670095
100	546	672	10418664
100	545	672	8242272
100	536	672	3657955
100	536	672	13101413
100	537	672	16113449
100	548	672	11703271
100	539	672	13146405
100	544	672	4336462
100	534	672	13341165
100	546	672	7270839
100	549	672	12843594
100	539	672	3833576
100	555	672	17972843
100	543	672	14224272
100	544	672	4306052
100	549	672	26658343
100	547	672	3953542
100	546	672	16647419
100	548	672	19785469
100	552	672	8348030
100	545	672	3757181
100	544	672	9111716
100	544	672	17167511
100	546	672	46887560
100	543	672	19981767
100	549	672	8972358
100	542	672	11448446
100	538	672	3719034
100	542	672	26879263
100	539	672	3658957
100	548	672	9752046
100	536	672	14605060
100	551	672	17839787
100	541	672	8636336
100	553	672	4006673
100	544	672	14035701
100	533	672	17344815
100	537	672	9396200
100	540	672	17194886
100	547	672	14339715
100	538	672	5229018
100	541	672	4430459
100	550	672	8193735
100	538	672	20833876
100	548	672	15472978
100	545	672	3592424
100	545	672	3658227
100	548	672	25772001
100	545	672	3933341
100	541	672	9588994
100	551	672	15227313
100	548	672	13716535
100	534	672	14593454
100	545	672	4135069
100	549	672	16274534
100	540	672	8381180
100	542	672	3805016
100	546	672	19033332
100	544	672	9919508
100	542	672	4283789
100	541	672	19462105
100	548	672	15243376
100	539	672	9654950
100	557	672	18890050
100	551	672	15730015
100	542	672	3516843
100	538	672	20285772
100	543	672	20248188
100	524	672	17024623
100	545	672	3353073
100	537	672	3785551
100	555	672	19181994
100	540	672	11802763
100	542	672	12791167
100	542	672	3727396
100	543	672	8797897
100	534	672	18928808
100	543	672	15027084
100	552	672	6508781
100	532	672	3528319
100	546	672	22361051
100	554	672	11179245
100	543	672	10692237
100	541	672	3676499
200	1288	1544	32238947
200	1279	1544	27839253
200	1286	1544	40858658
200	1286	1544	65629078
200	1278	1544	31771432
200	1283	1544	30764436
200	1291	1544	17687045
200	1287	1544	28999382
200	1286	1544	18712842
200	1292	1544	32396760
200	1286	1544	17699963
200	1290	1544	21792228
200	1275	1544	26185188
200	1282	1544	28766615
200	1270	1544	24673229
200	1273	1544	18410602
200	1271	1544	30870487
200	1274	1544	18489345
200	1289	1544	26960783
200	1285	1544	19861165
200	1289	1544	26039272
200	1274	1544	12418601
200	1275	1544	31018734
200	1284	1544	23359570
200	1277	1544	17760946
200	1295	1544	27666737
200	1304	1544	24540509
200	1294	1544	24509568
200	1284	1544	34290216
200	1277	1544	16228632
200	1292	1544	31318049
200	1292	1544	17562579
200	1267	1544	37408800
200	1282	1544	21980143
200	1291	1544	17877568
200	1294	1544	21307145
200	1291	1544	28777098
200	1275	1544	21753584
200	1281	1544	29197599
200	1288	1544	20610203
200	1278	1544	30583879
200	1276	1544	18607139
200	1279	1544	29553850
200	1274	1544	16724864
200	1294	1544	35595973
200	1294	1544	29236935
200	1282	1544	16449721
200	1274	1544	36521530
200	1293	1544	18225001
200	1274	1544	30052694
200	1280	1544	29097124
200	1270	1544	11883718
200	1274	1544	28582531
200	1298	1544	26429593
200	1290	1544	12183760
200	1276	1544	38761074
200	1270	1544	13682286
200	1264	1544	37565311
200	1293	1544	15403892
200	1290	1544	20095053
200	1276	1544	35228667
200	1292	1544	26861168
200	1286	1544	24014550
200	1268	1544	26957867
200	1274	1544	21577154
200	1277	1544	31608708
200	1294	1544	16982724
200	1281	1544	18431126
200	1288	1544	35720706
200	1276	1544	17544607
200	1281	1544	38417905
200	1284	1544	17161319
200	1283	1544	47901977
200	1280	1544	24280697
200	1289	1544	10523898
200	1280	1544	50456027
200	1290	1544	29431168
200	1281	1544	64694690
200	1291	1544	58800062
200	1280	1544	20912279
200	1288	1544	30079513
200	1291	1544	28853607
200	1273	1544	33409811
200	1278	1544	21794508
200	1269	1544	21045625
200	1283	1544	30581756
200	1283	1544	17787995
200	1275	1544	17093290
200	1294	1544	37542884
200	1284	1544	18218541
200	1285	1544	25302683
200	1282	1544	30715007
200	1289	1544	19968884
200	1284	1544	31975113
200	1276	1544	24737488
200	1286	1544	14110010
200	1288	1544	36064082
200	1293	1544	17888529
200	1290	1544	22684928
200	1293	1544	25337952
300	2087	2488	40871759
300	2087	2488	36328129
300	2089	2488	30147866
300	2104	2488	45535825
300	2107	2488	38730666
300	2076	2488	37171697
300	2113	2488	46135537
300	2100	2488	29546689
300	2102	2488	46013128
300	2091	2488	48164527
300	2113	2488	62163059
300	2113	2488	57918355
300	2093	2488	27727206
300	2104	2488	43876883
300	2106	2488	31691613
300	2100	2488	42009263
300	2100	2488	52968932
300	2091	2488	29786671
300	2102	2488	44423972
300	2085	2488	40832670
300	2113	2488	43080417
