n:	 c:	 s:	 t:
100	530	672	0.341167
200	1284	1544	0.409926
300	2083	2488	0.620731
400	2957	3488	0.361804
500	3839	4488	0.429053
600	4798	5576	0.573655
700	5734	6676	0.678409
800	6741	7776	0.77036
900	7708	8876	0.789879
1000	8724	9976	0.88855
1100	9733	11152	1.010971
1200	10802	12352	1.106386
1300	11806	13552	1.165261
1400	12903	14752	1.343495
1500	13953	15952	1.411355
1600	15012	17152	1.492005
1700	16133	18352	1.137593
1800	17217	19552	0.965694
1900	18341	20752	1.020262
2000	19372	21952	1.073375
2100	20518	23204	1.188849
2200	21686	24504	2.108057
2300	22786	25804	2.169124
2400	23955	27104	2.272211
2500	25134	28404	2.058695
2600	26337	29704	0.886637
2700	27438	31004	0.886622
2800	28595	32304	0.951169
2900	29720	33604	1.01663
3000	30957	34904	1.017948
3100	32099	36204	1.083029
3200	33289	37504	1.121964
3300	34489	38804	1.098374
3400	35639	40104	1.187464
3500	36837	41404	1.203868
3600	38044	42704	1.227092
3700	39260	44004	1.30157
3800	40413	45304	1.354993
3900	41623	46604	1.354075
4000	42834	47904	1.448693
4100	44030	49208	1.419284
4200	45273	50608	1.504716
4300	46455	52008	1.502967
4400	47714	53408	1.589595
4500	48929	54808	1.549589
4600	50291	56208	1.718117
4700	51500	57608	1.63397
4800	52741	59008	1.965774
4900	53938	60408	1.684498
5000	55143	61808	1.76043
5100	56578	63208	1.745048
5200	57715	64608	1.77504
5300	59045	66008	1.864651
5400	60296	67408	1.821689
5500	61497	68808	10.003623
5600	62789	70208	1.975146
5700	63954	71608	1.766327
5800	65276	73008	1.26764
5900	66491	74408	1.097366
6000	67862	75808	1.126215
6100	69113	77208	1.273268
6200	70362	78608	1.412627
6300	71681	80008	1.198649
6400	72976	81408	1.483856
6500	74264	82808	1.52043
6600	75522	84208	1.378817
6700	76790	85608	1.337104
6800	78084	87008	1.521228
6900	79371	88408	1.336618
7000	80744	89808	1.788599
7100	81861	91208	2.164067
7200	83298	92608	1.829429
7300	84618	94008	1.410364
7400	85856	95408	1.422038
7500	87130	96808	1.48607
7600	88481	98208	1.448564
7700	89703	99608	1.468503
7800	91067	101008	1.508314
7900	92330	102408	1.711878
8000	93651	103808	1.885839
8100	95017	105208	1.988391
8200	96208	106616	1.912103
8300	97630	108116	2.406638
8400	98874	109616	2.012189
8500	100300	111116	1.966973
8600	101639	112616	1.934759
8700	103006	114116	2.345625
8800	104329	115616	1.9759
8900	105620	117116	2.017846
9000	106965	118616	2.009705
9100	108320	120116	2.055166
9200	109621	121616	2.145206
9300	111154	123116	2.111045
9400	112296	124616	2.209484
9500	113743	126116	2.139571
9600	115130	127616	2.278416
9700	116386	129116	2.195436
9800	117856	130616	2.22229
9900	119152	132116	2.240987
10000	120471	133616	2.335399
