n:	 c:	 s:	 t:	 m:
100	638	279	3.279589	62936
100	642	292	3.279484	62936
100	770	247	2.867818	62936
100	650	303	3.077369	62936
100	632	334	2.943083	62936
100	628	261	2.820699	62936
100	598	274	2.602441	62936
100	628	286	2.605979	62936
100	667	271	2.424402	62936
100	762	250	2.530523	62936
100	672	310	2.464838	62936
100	700	298	2.281846	62936
100	625	318	2.341652	62936
100	585	279	2.316478	62936
100	602	270	2.229566	62936
100	583	277	2.192011	62936
100	625	297	2.139234	62936
100	689	273	2.267813	62936
100	608	252	2.228988	62936
100	620	341	2.221529	62936
100	668	253	2.278029	62936
100	662	262	2.231303	62936
100	589	274	2.234877	62936
100	588	289	2.138913	62936
100	641	331	2.252954	62936
100	597	267	2.211325	62936
100	622	328	2.293856	62936
100	643	294	2.710301	62936
100	707	308	2.631381	62936
100	613	284	2.189244	62936
100	586	277	2.145533	62936
100	610	333	2.200794	62936
100	629	286	2.218342	62936
100	567	311	2.131125	62936
100	616	296	2.162994	62936
100	638	320	2.096055	62936
100	687	244	2.659632	62936
100	658	336	2.847234	62936
100	605	269	2.584039	62936
100	639	343	2.607179	62936
100	634	270	2.645201	62936
100	593	297	2.45352	62936
100	595	253	2.556681	62936
100	600	283	2.524249	62936
100	688	279	2.604625	62936
100	682	371	2.820453	62936
100	679	249	4.818732	62936
100	657	267	2.4747	62936
100	651	280	2.403239	62936
100	629	269	2.284583	62936
100	619	350	2.504038	62936
100	720	313	2.241521	62936
100	582	290	2.497613	62936
100	592	256	2.287222	62936
100	604	333	2.360158	62936
100	613	256	2.396197	62936
100	665	243	2.440016	62936
100	631	277	2.329873	62936
100	638	260	2.282992	62936
100	645	411	2.619352	62936
100	755	254	3.095199	62936
100	716	260	3.030693	62936
100	637	269	2.477909	62936
100	625	268	2.617348	62936
100	604	286	4.051835	62936
100	718	237	2.560151	62936
100	631	250	2.390185	62936
100	678	279	2.352779	62936
100	676	238	2.448836	62936
100	626	260	2.528434	62936
100	694	281	2.341895	62936
100	636	247	2.430585	62936
100	697	298	2.352912	62936
100	609	325	2.482634	62936
100	649	337	2.40926	62936
100	627	322	2.410168	62936
100	646	278	2.518808	62936
100	613	316	2.257986	62936
100	714	242	2.176658	62936
100	645	261	2.219292	62936
100	586	271	2.183745	62936
100	597	312	2.256878	62936
100	621	320	2.278603	62936
100	625	277	2.296261	62936
100	707	239	2.349622	62936
100	602	322	2.602719	62936
100	646	270	2.590656	62936
100	583	257	2.6392	62936
100	620	251	2.779819	62936
100	680	241	2.832435	62936
100	687	324	2.620264	62936
100	638	297	3.090667	62936
100	567	279	2.594723	62936
100	625	306	2.753992	62936
100	615	254	2.476786	62936
100	678	270	2.481014	62936
100	589	260	2.613153	62936
100	631	261	2.73158	62936
100	728	325	2.803727	62936
100	612	310	2.774141	62936
200	1481	582	2.769357	62936
200	1539	718	2.912434	62936
200	1577	607	2.599149	62936
200	1513	692	2.889565	62936
200	1444	681	2.874852	62936
200	1499	667	2.733832	62936
200	1445	619	2.967485	62936
200	1609	621	2.90411	62936
200	1449	708	2.717458	62936
200	1545	693	3.105248	62936
200	1446	580	2.859204	62936
200	1607	568	2.915653	62936
200	1609	710	2.845092	62936
200	1440	605	2.749821	62936
200	1626	581	2.835521	62936
200	1479	675	2.846737	62936
200	1634	680	2.911721	62936
200	1418	671	2.866794	62936
200	1551	694	2.85377	62936
200	1378	723	2.830948	62936
200	1490	659	2.975336	62936
200	1506	663	2.531644	62936
200	1439	660	2.570675	62936
200	1403	658	2.562578	62936
200	1530	709	2.316178	62936
200	1564	676	2.302942	62936
200	1567	649	2.580544	62936
200	1364	631	2.724567	62936
200	1674	627	2.825656	62936
200	1615	610	2.798978	62936
200	1451	627	2.981369	62936
200	1407	695	2.600825	62936
200	1434	586	2.737973	62936
200	1584	704	2.838429	62936
200	1532	605	2.569333	62936
200	1514	540	2.470818	62936
200	1527	721	2.397234	62936
200	1530	668	2.501263	62936
200	1469	552	2.519396	62936
200	1678	762	2.370089	62936
200	1698	572	2.502347	62936
200	1507	657	2.520957	62936
200	1531	589	2.447215	62936
200	1462	663	2.518594	62936
200	1643	780	2.507025	62936
200	1430	621	2.475156	62936
200	1606	638	2.488837	62936
200	1492	750	2.436995	62936
200	1508	680	2.449264	62936
200	1553	630	2.477199	62936
200	1338	648	2.426891	62936
200	1449	664	2.446872	62936
200	1561	634	2.425994	62936
200	1402	710	2.42076	62936
200	1442	639	2.449734	62936
200	1518	572	2.413257	62936
200	1561	647	2.458123	62936
200	1647	678	2.503908	62936
200	1513	621	2.444834	62936
200	1849	722	2.461668	62936
200	1687	641	2.454188	62936
200	1375	644	2.437762	62936
200	1498	763	2.490618	62936
200	1550	658	2.418933	62936
200	1552	656	2.460883	62936
200	1501	675	2.661347	62936
200	1712	627	2.497518	62936
200	1366	639	2.49408	62936
200	1474	656	2.599482	62936
200	1701	699	2.556491	62936
200	1509	771	2.57329	62936
200	1613	588	2.550011	62936
200	1602	566	2.484744	62936
200	1645	580	2.505217	62936
200	1431	657	2.432663	62936
200	1561	652	2.452437	62936
200	1552	663	2.454516	62936
200	1671	622	2.561669	62936
200	1422	606	2.487714	62936
200	1521	621	2.436625	62936
200	1659	665	2.541664	62936
200	1603	584	2.610583	62936
200	1604	583	2.549686	62936
200	1500	706	2.592727	62936
200	1493	613	2.545278	62936
200	1452	630	2.407499	62936
200	1445	608	2.427843	62936
200	1547	765	2.576962	62936
200	1650	610	2.641375	62936
200	1604	763	2.482463	62936
200	1498	608	2.618166	62936
200	1651	601	2.641124	62936
200	1434	590	2.424007	62936
200	1518	649	2.415427	62936
200	1480	670	2.596982	62936
200	1569	608	2.634066	62936
200	1422	685	2.605873	62936
200	1422	645	2.669803	62936
200	1610	648	2.609058	62936
200	1472	687	2.467318	62936
300	2735	1075	2.424732	62936
300	2460	1114	2.526645	62936
300	2484	956	2.60796	62936
300	2510	1106	2.508402	62936
300	2504	1085	2.610178	62936
300	2309	1066	2.594371	62936
300	2572	1037	2.420812	62936
300	2633	915	2.456875	62936
300	2611	1380	2.645966	62936
300	2711	952	2.682697	62936
300	2733	1089	3.160882	62936
300	2519	1256	2.563025	62936
300	2490	1223	2.51873	62936
300	2574	960	2.495426	62936
300	2686	1019	2.520376	62936
300	2448	1106	2.576001	62936
300	2639	1257	3.160319	62936
300	2499	1329	2.759799	62936
300	2557	1008	2.800955	62936
300	2497	1095	2.534547	62936
300	2359	1008	2.421208	62936
300	2475	946	2.37955	62936
300	2624	1240	2.389756	62936
300	2531	1288	2.42254	62936
300	2496	1258	2.290288	62936
300	2686	1093	2.34538	62936
300	2580	1047	2.353167	62936
300	2487	1062	2.312024	62936
300	2646	1209	2.233081	62936
300	2431	1050	2.192792	62936
300	2556	941	2.23126	62936
300	2594	1060	2.304803	62936
300	2578	1149	2.196463	62936
300	2700	991	2.20745	62936
300	2439	968	2.283418	62936
300	2779	1138	2.374339	62936
300	2617	1038	2.30169	0
300	2691	950	2.365205	0
300	2450	980	2.328078	0
300	2543	1150	2.317542	0
300	2591	933	2.344797	0
300	2498	1249	2.258834	0
300	2675	1017	2.324551	0
300	2611	1147	2.252549	0
300	2336	1160	2.298532	0
300	2486	1034	2.335384	0
300	2520	1095	2.308787	0
300	2305	1113	2.268472	0
300	2495	1054	2.349333	0
300	2511	1188	2.52345	0
300	2610	1049	3.146384	0
300	2405	1202	2.739765	0
300	2789	1116	2.581435	0
300	2525	991	2.610466	0
300	2492	1073	2.645205	0
300	2453	1098	2.567127	0
300	2394	1096	2.687399	0
300	2297	1058	2.615532	0
300	2353	1040	2.606458	0
300	2517	1075	2.544202	0
300	2471	1048	2.611387	0
300	2674	980	2.583534	0
300	2731	1024	2.778323	0
300	2421	1058	2.952602	0
300	2430	932	3.027457	0
300	2653	1201	2.895649	0
300	2601	923	2.831848	0
300	2400	1149	2.669139	0
300	2432	988	2.611618	0
300	2575	1072	2.656551	0
300	2461	1093	2.62806	0
300	2492	1000	2.646473	0
300	2663	994	2.577023	0
300	2585	1356	2.572945	0
300	2365	959	2.574788	0
300	2383	1093	2.604167	0
300	2640	971	2.536329	0
300	2289	1007	3.130744	0
300	2517	1013	2.529243	0
300	2561	1411	2.590238	0
300	2678	1192	2.646666	0
300	2577	989	2.760429	0
300	2589	973	2.584794	0
