n:	 c:	 s:	 t:
100	543	672	0.352621
100	535	672	0.141178
100	543	672	0.144226
100	536	672	0.151202
100	538	672	0.135653
100	540	672	0.14944
100	545	672	0.243524
100	539	672	0.142073
100	537	672	0.15444
100	543	672	0.097332
100	539	672	0.063093
100	542	672	0.052874
100	533	672	0.055208
100	536	672	0.064131
100	542	672	0.039073
100	545	672	0.040467
100	532	672	0.036865
100	542	672	0.041498
100	554	672	0.040007
100	546	672	0.043697
100	545	672	0.064988
100	523	672	0.044111
100	548	672	0.037071
100	548	672	0.043608
100	548	672	0.043085
100	537	672	0.038045
100	543	672	0.046888
100	545	672	0.037592
100	546	672	0.038071
100	542	672	0.037856
100	545	672	0.035984
100	542	672	0.042072
100	546	672	0.039157
100	545	672	0.039477
100	532	672	0.03649
100	528	672	0.036627
100	552	672	0.038781
100	540	672	0.038826
100	542	672	0.036515
100	543	672	0.038704
100	545	672	0.0392
100	540	672	0.040517
100	541	672	0.036587
100	542	672	0.046905
100	543	672	0.038431
100	547	672	0.043285
100	542	672	0.036144
100	538	672	0.045715
100	537	672	0.046111
100	549	672	0.059485
100	536	672	0.054142
100	533	672	0.059948
100	544	672	0.059862
100	543	672	0.06016
100	543	672	0.05911
100	553	672	0.059489
100	540	672	0.060067
100	547	672	0.061682
100	535	672	0.060759
100	550	672	0.062042
100	547	672	0.057409
100	548	672	0.078804
100	545	672	0.046783
100	534	672	0.050951
100	549	672	0.046821
100	544	672	0.04147
100	551	672	0.040057
100	536	672	0.043532
100	537	672	0.046023
100	543	672	0.047167
100	546	672	0.052251
100	538	672	0.042606
100	538	672	0.051391
100	544	672	0.046959
100	535	672	0.051687
100	541	672	0.047746
100	550	672	0.050462
100	540	672	0.042005
100	538	672	0.052267
100	541	672	0.047278
100	551	672	0.044476
100	544	672	0.20674
100	546	672	0.063778
100	546	672	0.040059
100	553	672	0.041186
100	538	672	0.04242
100	546	672	0.042803
100	535	672	0.040236
100	545	672	0.043254
100	538	672	0.039804
100	545	672	0.052141
100	541	672	0.034468
100	552	672	0.041258
100	547	672	0.044063
100	532	672	0.040279
