n:	 c:	 s:	 t:
100	529	672	0.320146
100	549	672	0.143392
100	540	672	0.143824
100	536	672	0.150551
100	545	672	0.136088
100	549	672	0.139793
100	524	672	0.135303
100	542	672	0.137056
100	542	672	0.146364
100	533	672	0.080619
200	1289	1544	0.125664
200	1277	1544	0.140043
200	1288	1544	0.090101
200	1286	1544	0.122206
200	1271	1544	0.089784
200	1287	1544	0.089727
200	1301	1544	0.111226
200	1271	1544	0.062792
200	1298	1544	0.062072
200	1277	1544	0.064147
300	2087	2488	0.101333
300	2112	2488	0.099509
300	2090	2488	0.101739
300	2101	2488	0.097881
300	2097	2488	0.104198
300	2091	2488	0.100037
300	2107	2488	0.105051
300	2101	2488	0.099745
300	2097	2488	0.100789
300	2088	2488	0.098445
400	2964	3488	0.141148
400	2955	3488	0.14116
400	2971	3488	0.139045
400	2963	3488	0.159594
400	2958	3488	0.139164
400	2951	3488	0.137539
400	2937	3488	0.14778
400	2944	3488	0.138154
400	2968	3488	0.151647
400	2976	3488	0.137443
500	3875	4488	0.179998
500	3852	4488	0.177326
500	3847	4488	0.18276
500	3861	4488	0.176253
500	3846	4488	0.176832
500	3878	4488	0.184585
500	3853	4488	0.174705
500	3848	4488	0.189812
500	3849	4488	0.169294
500	3842	4488	0.168152
600	4798	5576	0.216111
600	4792	5576	0.23295
600	4767	5576	0.224036
600	4768	5576	0.212608
600	4814	5576	0.210282
600	4798	5576	0.247655
600	4789	5576	0.20993
600	4789	5576	0.237052
600	4820	5576	0.3563
600	4780	5576	0.212999
700	5749	6676	0.256993
700	5739	6676	0.250881
700	5756	6676	0.294843
700	5759	6676	0.37151
700	5758	6676	0.450129
700	5774	6676	0.479093
700	5763	6676	0.434528
700	5742	6676	0.443132
700	5764	6676	0.459969
700	5731	6676	0.440214
800	6718	7776	0.529281
800	6718	7776	0.530348
800	6705	7776	0.535379
800	6708	7776	0.479545
800	6701	7776	0.981264
800	6729	7776	0.296158
800	6724	7776	0.297148
800	6739	7776	0.294837
800	6750	7776	0.294137
800	6699	7776	0.33647
900	7693	8876	0.374745
900	7735	8876	0.467494
900	7702	8876	0.577478
900	7714	8876	0.574033
900	7704	8876	0.484148
900	7712	8876	0.347474
900	7707	8876	0.588996
900	7701	8876	0.433514
900	7681	8876	0.337716
900	7690	8876	0.492743
1000	8698	9976	0.389097
1000	8696	9976	0.380854
1000	8698	9976	0.374248
1000	8669	9976	0.506986
1000	8729	9976	0.448055
1000	8716	9976	0.377784
1000	8687	9976	0.395823
1000	8708	9976	0.393834
1000	8676	9976	0.372281
1000	8728	9976	0.623026
1100	9744	11152	0.434202
1100	9779	11152	0.455084
1100	9750	11152	0.428852
1100	9759	11152	0.431824
1100	9742	11152	0.359201
1100	9719	11152	0.204436
1100	9727	11152	0.204585
1100	9754	11152	0.198557
1100	9723	11152	0.206062
1100	9724	11152	0.197149
1200	10774	12352	0.224385
1200	10767	12352	0.232483
1200	10791	12352	0.216716
1200	10799	12352	0.231986
1200	10756	12352	0.221976
1200	10789	12352	0.228728
1200	10788	12352	0.227297
1200	10738	12352	0.224443
1200	10806	12352	0.251344
1200	10817	12352	0.229048
1300	11842	13552	0.241239
1300	11854	13552	0.241484
1300	11807	13552	0.270384
1300	11865	13552	0.336922
1300	11842	13552	0.351081
1300	11816	13552	0.407119
1300	11847	13552	0.34361
1300	11845	13552	0.347762
1300	11798	13552	0.367228
1300	11787	13552	0.351893
1400	12931	14752	0.446683
