n:	 c:	 s:	 t:	 m:
100	545	672	3.207121	62936
100	536	672	3.596157	62936
100	550	672	3.405096	62936
100	546	672	3.309996	62936
100	545	672	3.039486	62936
100	545	672	3.04279	62936
100	547	672	2.78282	62936
100	546	672	2.777063	62936
100	549	672	2.818126	62936
100	546	672	2.443546	62936
100	534	672	2.668458	62936
100	537	672	2.512138	62936
100	536	672	2.582527	62936
100	547	672	2.610335	62936
100	527	672	2.614638	62936
100	530	672	2.441137	62936
100	543	672	2.496792	62936
100	539	672	2.490562	62936
100	534	672	2.861713	62936
100	550	672	2.983891	62936
100	551	672	3.050922	62936
100	546	672	2.50314	62936
100	540	672	2.943303	62936
100	540	672	3.174104	62936
100	542	672	3.287538	62936
100	544	672	3.220977	62936
100	532	672	3.09518	62936
100	543	672	3.07243	62936
100	538	672	2.927821	62936
100	541	672	2.927249	62936
100	540	672	3.380605	62936
100	544	672	3.506591	62936
100	545	672	3.433418	62936
100	548	672	3.507258	62936
100	543	672	3.368834	62936
100	540	672	3.441272	62936
100	549	672	2.931143	62936
100	540	672	2.769128	62936
100	542	672	2.776343	62936
100	549	672	2.421911	62936
100	551	672	2.646522	62936
100	535	672	2.376589	62936
100	546	672	2.900764	62936
100	547	672	2.528374	62936
100	545	672	2.566943	62936
100	543	672	2.59102	62936
100	537	672	2.438511	62936
100	550	672	2.316856	62936
100	545	672	2.341437	62936
100	547	672	2.315488	62936
100	546	672	2.384755	62936
100	529	672	2.304222	62936
100	542	672	2.282051	62936
100	532	672	2.315614	62936
100	550	672	2.257358	62936
100	553	672	2.313638	62936
100	542	672	2.364263	62936
100	550	672	2.343025	62936
100	548	672	2.43555	62936
100	549	672	2.521038	62936
100	539	672	2.411285	62936
100	545	672	2.352415	62936
100	547	672	2.334572	62936
100	540	672	2.316267	62936
100	542	672	2.254768	62936
100	549	672	2.31297	62936
100	542	672	2.4016	62936
100	530	672	2.478354	62936
100	546	672	2.359267	62936
100	549	672	2.932933	62936
100	534	672	2.95784	62936
100	537	672	3.004255	62936
100	545	672	3.006572	62936
100	550	672	3.085163	62936
100	536	672	2.823426	62936
100	525	672	2.822202	62936
100	536	672	2.934957	62936
100	531	672	2.876825	62936
100	546	672	3.005976	62936
100	530	672	2.883743	62936
100	541	672	3.033605	62936
100	544	672	2.890988	62936
100	540	672	2.75326	62936
100	544	672	2.704277	62936
100	555	672	2.891779	62936
100	546	672	2.479297	62936
100	542	672	2.717027	62936
100	538	672	2.854861	62936
100	534	672	2.634386	62936
100	537	672	2.74802	62936
100	549	672	2.428396	62936
100	543	672	2.773172	62936
100	532	672	3.021324	62936
100	543	672	3.033362	62936
100	532	672	3.032773	62936
100	534	672	3.123608	62936
100	540	672	2.854778	62936
100	538	672	2.809118	62936
100	540	672	2.893261	62936
100	542	672	2.895662	62936
200	1277	1544	2.75751	62936
200	1278	1544	2.650431	62936
200	1287	1544	2.598327	62936
200	1274	1544	2.896189	62936
200	1284	1544	2.526709	62936
200	1291	1544	2.566623	62936
200	1276	1544	2.870442	62936
200	1278	1544	2.667626	62936
200	1280	1544	2.485337	62936
200	1290	1544	2.264099	62936
200	1271	1544	2.891525	62936
200	1275	1544	3.014024	62936
200	1290	1544	2.662906	62936
200	1281	1544	2.705969	62936
200	1288	1544	2.921303	62936
200	1280	1544	2.518291	62936
200	1281	1544	2.785304	62936
200	1273	1544	2.816932	62936
200	1272	1544	2.457838	62936
200	1279	1544	2.450547	62936
200	1281	1544	2.450817	62936
200	1267	1544	3.114009	62936
200	1284	1544	3.019622	62936
200	1288	1544	2.55615	62936
200	1273	1544	2.481777	62936
200	1288	1544	2.336086	62936
200	1279	1544	2.409305	62936
200	1273	1544	3.100757	62936
200	1281	1544	3.247293	62936
200	1298	1544	2.69342	62936
200	1278	1544	2.753415	62936
200	1276	1544	2.841568	62936
200	1271	1544	3.029976	62936
200	1276	1544	3.099902	62936
200	1265	1544	3.165766	62936
200	1272	1544	3.170906	62936
200	1285	1544	3.053678	62936
200	1282	1544	3.019607	62936
200	1279	1544	3.073357	62936
200	1282	1544	2.97187	62936
200	1285	1544	2.898852	62936
200	1276	1544	3.107357	62936
200	1285	1544	3.010727	62936
200	1283	1544	2.879259	62936
200	1292	1544	2.642721	62936
200	1281	1544	2.680481	62936
200	1274	1544	2.847895	62936
200	1281	1544	2.756519	62936
200	1274	1544	2.726755	62936
200	1294	1544	3.028872	62936
200	1281	1544	2.588102	62936
200	1276	1544	2.367108	62936
200	1277	1544	2.487203	62936
200	1279	1544	2.588237	62936
200	1281	1544	2.572057	62936
200	1267	1544	2.978634	62936
200	1290	1544	2.989707	62936
200	1280	1544	2.322506	62936
200	1288	1544	2.546843	62936
200	1277	1544	2.970673	62936
200	1288	1544	2.881676	62936
200	1277	1544	3.335492	62936
200	1280	1544	2.999817	62936
200	1286	1544	3.049524	62936
200	1283	1544	3.414075	62936
200	1269	1544	2.91272	62936
200	1275	1544	3.017131	62936
200	1294	1544	3.076371	62936
200	1273	1544	2.825968	62936
200	1284	1544	3.025288	62936
200	1280	1544	3.176197	62936
200	1281	1544	3.003034	62936
200	1279	1544	3.031122	62936
200	1277	1544	3.010854	62936
200	1280	1544	3.010538	62936
200	1300	1544	2.550969	62936
200	1275	1544	2.905063	62936
200	1280	1544	3.007332	62936
200	1273	1544	2.991627	62936
200	1287	1544	2.728716	62936
200	1287	1544	2.802663	62936
200	1290	1544	2.515304	62936
200	1292	1544	2.504109	62936
200	1293	1544	3.007395	62936
200	1279	1544	2.63045	62936
200	1265	1544	2.512727	62936
200	1300	1544	2.714703	62936
200	1280	1544	3.000983	62936
200	1284	1544	2.787307	62936
200	1281	1544	2.543364	62936
200	1288	1544	3.061504	62936
200	1282	1544	2.663993	62936
200	1293	1544	2.530926	62936
200	1290	1544	2.424413	62936
200	1288	1544	2.335621	62936
200	1272	1544	2.479195	62936
200	1279	1544	2.245549	62936
200	1290	1544	2.391295	62936
200	1279	1544	2.456501	62936
200	1282	1544	2.288858	62936
300	2084	2488	2.254242	62936
300	2093	2488	2.225075	62936
300	2107	2488	2.346679	62936
300	2118	2488	2.230744	62936
300	2088	2488	2.251425	62936
300	2097	2488	2.321147	62936
300	2105	2488	2.288372	62936
300	2091	2488	2.454461	62936
300	2089	2488	2.285477	62936
300	2096	2488	2.360698	62936
300	2091	2488	2.337557	62936
300	2106	2488	2.340806	62936
300	2080	2488	2.389194	62936
