n:	 c:	 s:	 t:
100	662	384	0.293661
100	639	272	0.129092
100	694	446	0.108427
100	577	367	0.104949
100	660	387	0.137021
100	675	306	0.097133
100	622	425	0.096716
100	587	339	0.051933
100	583	355	0.0484
100	602	398	0.078848
200	1691	917	0.150882
200	1484	914	0.108197
200	1475	828	0.069374
200	1577	916	0.072497
200	1699	929	0.078342
200	1661	950	0.07607
200	1691	928	0.084371
200	1451	940	0.057941
200	1399	909	0.042907
200	1506	912	0.044192
300	2332	1416	0.109415
300	2708	1520	0.128334
300	2622	1370	0.128274
300	2837	1656	0.134098
300	2554	1502	0.112293
300	2507	1593	0.109132
300	2500	1463	0.071822
300	2681	1563	0.07485
300	2305	1402	0.068417
300	2574	1342	0.07209
400	3636	2450	0.104661
400	4053	2888	0.112801
400	3761	2279	0.16403
400	3937	2117	0.199316
400	4058	2520	0.119502
400	3487	2118	0.099884
400	3632	1916	0.100715
400	3831	2146	0.105774
400	3802	2105	0.107228
400	3494	1750	0.099143
500	4738	2642	0.13152
500	4882	2779	0.135998
500	4672	2942	0.132233
500	5696	2497	0.14901
500	4458	2522	0.127059
500	4812	2483	0.132556
500	4576	2730	0.130401
500	4952	2533	0.13545
500	4676	2905	0.132655
500	4599	2647	0.130238
600	6475	3183	0.174046
600	5961	3367	0.164724
600	6360	3807	0.174458
600	5607	3001	0.157093
600	6196	3441	0.23681
600	5528	3214	0.168075
600	5649	3088	0.238382
600	5398	3204	0.235777
600	5775	3017	0.256482
600	5884	3119	0.261662
700	6788	3245	0.31336
700	6693	3946	0.33961
700	6741	3627	0.327852
700	7380	4496	0.358431
700	6907	3786	0.353948
700	7015	3741	0.349584
700	7427	3739	0.363197
700	7404	3713	0.369886
700	8128	5447	0.400672
700	7005	4136	0.349925
800	8762	4575	0.4342
800	8629	4818	0.431201
800	9649	6504	0.504946
800	8079	5113	0.402041
800	9340	4778	0.448174
800	7847	4274	0.206851
800	8881	5087	0.182559
800	8694	4495	0.173717
800	7860	4359	0.164931
800	8950	4162	0.1814
900	10098	6741	0.210492
900	9207	5021	0.336743
900	10221	5526	0.2102
900	9445	4986	0.197001
900	10531	5765	0.216743
900	10148	5350	0.200827
900	9130	5312	0.192629
900	9444	5897	0.194652
900	8810	5427	0.184432
900	9661	5568	0.195624
1000	9847	5958	0.219264
1000	10560	6163	0.216918
1000	10956	6720	0.222185
1000	10948	6075	0.218787
1000	10752	6151	0.226432
1000	10781	6748	0.224395
1000	10990	7203	0.26869
1000	10660	5899	0.226226
1000	9984	5429	0.214112
1000	10091	5399	0.215546
1100	11724	6915	0.243449
1100	11318	6870	0.231321
1100	12026	6873	0.253197
1100	13048	7703	0.263891
1100	11958	6530	0.248836
1100	11433	5688	0.245186
1100	12175	6826	0.247803
1100	12324	6665	0.257953
1100	12261	7368	0.263361
1100	13677	9110	0.272053
1200	13983	8532	0.283707
1200	12838	7683	0.26654
1200	13601	6968	0.283694
1200	13688	7816	0.283078
1200	14361	7761	0.289789
1200	15107	8814	0.304675
1200	13037	7268	0.273814
1200	12820	6993	0.262305
1200	13179	6980	0.286529
1200	14753	8957	0.295418
1300	14282	7969	0.297769
1300	13956	7436	0.293572
1300	14525	8623	0.296769
1300	13704	7596	0.292993
1300	16091	8673	0.325061
1300	13773	8256	0.292708
1300	15883	8240	0.325129
1300	14134	7195	0.280758
1300	15299	8023	0.26262
1300	16498	9320	0.290568
1400	15912	7915	0.33004
1400	16300	8637	0.324279
1400	17042	9842	0.344493
1400	17046	9683	0.339114
1400	15332	8564	0.3141
1400	16043	7990	0.322777
1400	16607	9424	0.327888
1400	15722	7682	0.321427
1400	16292	8013	0.329221
1400	17216	9785	0.344497
1500	17468	8538	0.366083
1500	16987	9821	0.353538
1500	17342	9697	0.359129
1500	18790	11626	0.367345
1500	17539	9645	0.359531
1500	16800	9865	0.32809
1500	17043	10657	0.337666
1500	16934	8340	0.345268
1500	19571	9967	0.391592
1500	16080	8717	0.352545
1600	20046	11148	0.404082
1600	21078	10463	0.424997
1600	17588	9773	0.334863
1600	19152	10048	0.389524
1600	19670	11089	0.361522
1600	18235	9578	0.363508
1600	19619	10951	0.38737
1600	18260	10324	0.382072
1600	20147	10446	0.404122
1600	18049	10113	0.370296
1700	19808	11506	0.399572
1700	19221	10899	0.397055
1700	21672	12061	0.407679
1700	20008	10271	0.399468
1700	19491	12230	0.40143
1700	21226	12888	0.426342
1700	19833	10234	0.400967
1700	19020	10114	0.389381
1700	19064	10723	0.399994
1700	20172	11055	0.403035
1800	20563	11154	0.426351
1800	21986	11361	0.4018
1800	22513	13944	0.447952
1800	25010	12825	0.484281
1800	21344	10646	0.444408
1800	22268	12548	0.451601
1800	22841	14257	0.488292
1800	20080	11716	0.411131
1800	22377	12208	0.440985
1800	22338	12634	0.413808
1900	22697	11680	0.45182
1900	22250	13176	0.440555
1900	23147	11866	0.465238
1900	22842	12599	0.45737
1900	25278	12295	0.505101
1900	23099	13158	0.450107
1900	25116	12187	0.488208
1900	23683	13579	0.475059
1900	26649	12174	0.497952
1900	26551	14471	0.507113
2000	24497	13264	0.516539
2000	26250	14120	0.498101
2000	24294	14537	0.44991
2000	23193	12537	0.473881
2000	24205	13397	0.463952
2000	26473	14354	0.401398
2000	25065	12978	0.21827
2000	24815	14294	0.215405
2000	23055	12567	0.21077
2000	23747	12697	0.209027
2100	25375	12909	0.22059
2100	25018	14304	0.222296
2100	27581	16452	0.233954
2100	27559	15098	0.240255
2100	24736	14105	0.220331
2100	25318	13848	0.223528
2100	27795	16394	0.232113
2100	26951	14920	0.232941
2100	26831	15382	0.231822
2100	24527	12978	0.216235
2200	28176	14883	0.246604
2200	29544	16920	0.248059
2200	27862	16577	0.241284
2200	28891	16927	0.244701
2200	30536	17592	0.251913
2200	26897	13666	0.235812
2200	29656	16070	0.250776
2200	28427	15358	0.242519
2200	27695	15777	0.239652
2200	25833	14218	0.236544
2300	28213	14499	0.245737
2300	28261	15297	0.24842
2300	30371	18795	0.26151
2300	30627	17541	0.27099
2300	30113	17166	0.253229
2300	29600	16505	0.253986
2300	29168	16310	0.347888
2300	30498	18155	0.420421
2300	31462	17157	0.414519
2300	27028	15114	0.287907
2400	36703	20507	0.29157
2400	30906	16497	0.293303
2400	29725	15467	0.276063
2400	32175	21083	0.318527
2400	32669	16747	0.29353
2400	30306	15175	0.270375
2400	32222	17322	0.283253
2400	30763	19056	0.275638
2400	31364	17375	0.27194
2400	30174	18523	0.271509
2500	31446	17547	0.385048
2500	30818	14084	0.380766
2500	31191	17804	0.421495
2500	35912	18387	0.889141
2500	31746	17862	0.278028
2500	32056	16079	0.27513
2500	30268	15697	0.398536
2500	34521	19768	0.462052
2500	32510	18901	0.392369
2500	32221	15686	0.339626
2600	33486	18749	0.30589
2600	34340	18821	0.289954
2600	31977	17286	0.284147
2600	32377	17506	0.287892
2600	32279	18750	0.285651
2600	36221	20204	0.299875
2600	35282	20108	0.30465
2600	31799	16216	0.286558
2600	31792	18136	0.283707
2600	31393	16051	0.278487
2700	33714	20053	0.299725
2700	33603	19075	0.296203
2700	37077	18221	0.31781
2700	35033	19877	0.299463
2700	35025	16859	0.29907
2700	35301	19295	0.299137
2700	32937	19389	0.299643
2700	32354	17348	0.289774
2700	33076	18852	0.292187
2700	33738	18025	0.296651
2800	36108	21891	0.314109
2800	37030	21152	0.343602
2800	38443	22221	0.324763
2800	40363	21712	0.350948
2800	35626	21686	0.350364
2800	37540	23780	0.395173
2800	35271	18564	0.317502
2800	40034	19366	0.364115
2800	35951	19848	0.323447
2800	35761	19759	0.322256
2900	42331	21458	0.357134
2900	35965	20135	0.337278
2900	37652	20577	0.357556
2900	35747	20225	0.342442
2900	36452	18895	0.319091
2900	36870	18429	0.319003
2900	39833	22238	0.335379
2900	41811	23078	0.341512
2900	37891	19826	0.358339
2900	37633	19513	0.321783
3000	37623	20415	0.333384
3000	40340	21368	0.342309
3000	37040	20984	0.328778
3000	38916	22851	0.338696
3000	38236	21118	0.334453
3000	37935	19962	0.332316
3000	37590	20575	0.331883
3000	39572	21943	0.337978
3000	39514	19034	0.333795
3000	41667	24091	0.350468
3100	38309	20300	0.343856
3100	39769	22151	0.348599
3100	43226	22358	0.367005
3100	41448	20432	0.377733
3100	38766	23192	0.465509
3100	38837	21647	0.345526
3100	44248	26236	0.375512
3100	41826	24687	0.372163
3100	40845	21630	0.349856
3100	44858	26033	0.380403
3200	43944	24002	0.367063
3200	47795	26167	0.429121
3200	39278	21596	0.351239
3200	40807	22498	0.35549
3200	44733	23715	0.385879
3200	43454	25361	0.378121
3200	44024	26045	0.373343
3200	42767	24380	0.363221
3200	42160	24187	0.367143
3200	39704	22858	0.356591
3300	41326	23183	0.368022
3300	42308	23623	0.383351
3300	42426	22523	0.368411
3300	44783	26834	0.381198
3300	43339	23476	0.373252
3300	44551	22446	0.373065
3300	46849	27644	0.385647
3300	43359	23021	0.370236
3300	44455	23647	0.374235
3300	45558	22917	0.37567
3400	44366	25219	0.396095
3400	53574	26545	0.418338
3400	44655	23294	0.384186
3400	46351	21402	0.385426
3400	46369	23843	0.389223
3400	47320	27826	0.399509
3400	46285	29071	0.396731
3400	45430	22773	0.386053
3400	46970	22419	0.403741
3400	47281	25942	0.457722
3500	44946	26229	0.398287
3500	47737	26485	0.407784
3500	43963	22395	0.391187
3500	49221	27565	0.418711
3500	45447	25660	0.39957
3500	46829	27124	0.403694
3500	46624	26743	0.408231
3500	50508	28015	0.424262
3500	46437	24216	0.400533
3500	49915	27002	0.413523
3600	48917	26331	0.414648
3600	48063	26063	0.421625
3600	45815	25861	0.406486
3600	46056	25346	0.401539
3600	45399	25903	0.403471
3600	52005	27723	0.432106
3600	50536	27620	0.41972
3600	49599	28739	0.445749
3600	50011	28810	0.427401
3600	46608	23912	0.416315
3700	49944	29268	0.472339
3700	53059	24462	0.427546
3700	53089	27163	0.441328
3700	52054	31067	0.448445
3700	50575	28358	0.429506
3700	52004	30536	0.44109
3700	48595	27573	0.424198
3700	49934	27897	0.429426
3700	47893	22316	0.419579
3700	47753	25047	0.416099
3800	56157	29068	0.460325
3800	51470	27542	0.453431
3800	53089	27433	0.440455
3800	51772	29769	0.443174
3800	57513	32601	0.469617
3800	47858	25907	0.442623
3800	53780	28126	0.467719
3800	51850	27757	0.444259
3800	55780	27398	0.459063
3800	51257	33126	0.450824
3900	61697	36927	0.493653
3900	52018	28989	0.462508
3900	54104	29582	0.46098
3900	57223	36027	0.494396
3900	49072	27669	0.443074
3900	51828	29480	0.452754
3900	52027	28678	0.484151
3900	54299	31145	0.507075
3900	53140	28761	0.479816
3900	56648	33855	0.493637
4000	52752	27028	0.485033
4000	53643	30381	0.486215
4000	53369	31450	0.490454
4000	53346	28554	0.482375
4000	50859	29227	0.473823
4000	54274	32292	0.500357
4000	54317	31086	0.487094
4000	52336	26962	0.475005
4000	53245	28936	0.483053
4000	55416	29661	0.487558
4100	54893	28600	0.500696
4100	71951	44492	0.569414
4100	56670	31345	0.522413
4100	55797	29435	0.498777
4100	52924	30394	0.493709
4100	58990	35803	0.515695
4100	63313	36663	0.524926
4100	57795	30224	0.50728
4100	53989	29914	0.500288
4100	60718	35042	0.521912
4200	58655	31284	0.54282
4200	56815	32133	0.509799
4200	58358	30781	0.518032
4200	58339	32048	0.516784
4200	59876	31778	0.529196
4200	57837	29012	0.572629
4200	59211	33392	0.514848
4200	55215	32626	0.508656
4200	58109	30927	0.51586
4200	54996	32488	0.511201
4300	58542	28560	0.525177
4300	57242	29180	0.518172
4300	59750	31851	0.527621
4300	59992	32424	0.529778
4300	58433	29212	0.519768
4300	58977	30209	0.532619
4300	56779	32957	0.529091
4300	57650	30830	0.527182
4300	55523	29270	0.518329
4300	58080	31789	0.525982
4400	66275	37749	0.563674
4400	61965	32064	0.538629
4400	62017	31243	0.537939
4400	58192	31062	0.53397
4400	60074	33753	0.544333
4400	58618	31467	0.52719
4400	62398	31787	0.536673
4400	60489	35674	0.542764
4400	58462	30921	0.534965
4400	59326	31523	0.538189
4500	65507	33434	0.566399
4500	70233	37999	0.58979
4500	62948	32162	0.569096
4500	67115	39873	0.575047
4500	64888	29374	0.567697
4500	66222	40348	0.645565
4500	62953	34608	0.557752
4500	60445	33789	0.552646
4500	65805	37830	0.568665
4500	61062	32993	0.555001
4600	63250	37448	0.581478
4600	63729	34015	0.574882
4600	67882	32708	0.575077
4600	62910	36915	0.572473
4600	63488	31643	0.559046
4600	61330	33795	0.56656
4600	60847	31821	0.55386
4600	60673	33437	0.565012
4600	62347	33875	0.563887
4600	67173	41708	0.586934
4700	62927	31974	0.575933
4700	65718	39836	0.584774
4700	63308	38705	0.583852
4700	68165	35920	0.589578
4700	69040	39125	0.607155
4700	66460	34841	0.587037
4700	64842	33242	0.575376
4700	62471	35283	0.591113
4700	70140	36911	0.608079
4700	62270	37655	0.570772
4800	62904	33072	0.580444
4800	66347	38758	0.62892
4800	68764	41509	0.632915
4800	67000	32797	0.591595
4800	67786	38252	0.613223
4800	67747	37949	0.599969
4800	68808	39117	0.643059
4800	65815	34256	0.607032
4800	67219	36758	0.631797
4800	66047	37691	0.597264
4900	72067	38991	0.617903
4900	66249	36776	0.618257
4900	73832	36847	0.630401
4900	71742	39106	0.677254
4900	69480	38273	0.620454
4900	68809	38697	0.60566
4900	74847	40359	0.652213
4900	67631	37560	0.608086
4900	67197	35803	0.632248
4900	67885	42949	0.614107
5000	71008	38198	0.627023
5000	69435	39486	0.626626
5000	77079	49868	0.665333
5000	70508	36304	0.627503
5000	66231	34063	0.612834
5000	67542	38484	1.035594
5000	70345	35932	0.830845
5000	67437	36524	0.817097
5000	79585	46102	0.859257
5000	66768	36075	0.791318
5100	67601	35760	0.775501
5100	69874	38319	0.839185
5100	73013	38817	0.822483
5100	74141	42572	0.819497
5100	70247	41597	0.793625
5100	72122	37985	0.799714
5100	70139	39744	0.788014
5100	69520	40552	0.796144
5100	71222	38493	0.803096
5100	75818	38984	0.822029
5200	71134	42663	0.823694
5200	75230	39495	0.846956
5200	77346	36913	0.854524
5200	68654	37094	0.798729
5200	73601	37895	0.860781
5200	71727	37247	0.810865
5200	86422	50707	0.914471
5200	71965	39653	0.817141
5200	79163	45531	0.854368
5200	75041	41974	0.835786
5300	73909	39556	0.843873
5300	73946	39977	0.837725
5300	77733	45420	0.850209
5300	79867	44017	0.861964
5300	73560	37543	0.825996
5300	77111	44224	0.919686
5300	71841	40204	0.819919
5300	69644	36912	0.805625
5300	70530	40186	0.817484
5300	76333	44264	0.846036
5400	73050	40365	0.831306
5400	75265	44567	0.848265
5400	74701	43246	0.847357
5400	73906	39418	0.8452
5400	77677	38402	0.874322
5400	77221	41617	0.852124
5400	85627	46893	0.932267
5400	83805	47092	0.899854
5400	80519	45118	0.875986
5400	75803	38400	0.877845
5500	83561	40257	0.953213
5500	86234	50803	1.200052
5500	81241	40281	1.026573
5500	74978	41553	0.886046
5500	92593	47107	0.970199
5500	78775	42716	0.879653
5500	85061	46659	0.915103
5500	76810	42457	0.865133
5500	88957	37240	0.924514
5500	76052	43703	0.86013
5600	84057	50135	0.92343
5600	81237	42590	0.901224
5600	77843	41976	0.894319
