n:	 c:	 s:	 t:	 m:
100	638	360	3.302375	0
100	668	406	3.000168	0
100	665	382	2.900328	0
100	600	365	2.895504	0
100	552	351	2.988454	0
100	694	353	2.826334	0
100	655	386	2.912601	0
100	634	408	3.165722	0
100	610	375	2.566258	0
100	589	388	2.715214	0
100	792	492	2.415371	0
100	668	370	2.573007	0
100	692	428	2.820985	0
100	566	300	2.789614	0
100	754	381	2.6853	0
100	642	352	2.624341	0
100	640	363	2.745239	0
100	708	390	2.707322	0
100	630	324	2.567028	0
100	558	355	2.823249	0
100	643	380	2.67436	0
100	718	357	2.777302	0
100	665	430	2.740919	0
100	659	437	2.651876	0
100	748	442	2.683014	0
100	617	407	3.005881	0
100	585	332	3.12244	0
100	610	371	3.024137	0
100	656	431	3.007875	0
100	539	343	2.993751	0
100	570	331	3.032417	0
100	705	435	2.948804	0
100	557	354	2.486881	0
100	601	322	2.987723	0
100	578	379	2.454852	0
100	644	461	2.473888	0
100	695	366	2.26946	0
100	622	369	2.175433	0
100	625	406	2.398063	0
100	754	439	2.681032	0
100	642	457	2.355646	0
100	638	450	2.199062	0
100	582	386	2.233521	0
100	582	378	2.215021	0
100	628	370	2.262214	0
100	607	455	2.435879	0
100	681	314	2.529312	0
100	625	435	2.147087	0
100	626	327	2.072531	0
100	626	402	2.118199	0
100	599	415	2.096752	0
100	629	439	2.087556	0
100	687	390	2.108701	0
100	615	371	2.080491	0
100	648	315	2.111538	0
100	578	342	2.07305	0
100	657	456	2.108055	0
100	570	367	2.178705	0
100	833	541	2.155152	0
100	709	342	2.186091	0
100	653	338	2.434595	0
100	662	486	2.225306	0
100	676	371	2.160147	0
100	625	411	2.175006	0
100	626	359	2.419365	0
100	681	441	2.441285	0
100	620	389	2.546806	0
100	681	472	2.651785	0
100	659	378	2.638382	0
100	722	414	2.682388	0
100	556	347	2.487326	0
100	597	367	2.378973	0
100	697	383	2.354756	0
100	712	389	2.342829	0
100	656	369	2.318175	0
100	675	376	2.21015	0
100	612	387	2.371356	0
100	622	394	2.23326	0
100	625	343	2.29591	0
100	656	427	2.267794	0
100	637	396	2.316416	0
100	583	393	2.365051	0
100	943	491	2.29198	0
100	563	311	2.428359	0
100	658	430	2.33238	0
100	614	352	2.448937	0
100	562	342	2.33858	0
100	682	531	2.306322	0
100	623	375	2.204202	0
100	582	362	2.680472	0
100	615	353	2.37927	0
100	640	368	2.298792	0
100	661	432	2.342248	0
100	758	429	2.321011	0
100	620	398	2.344265	0
100	571	410	2.269257	0
100	716	480	2.367971	0
100	795	544	2.457037	0
100	642	446	2.592833	0
100	637	398	2.40609	0
200	1488	829	2.431245	0
200	1573	855	2.314312	0
200	1513	940	2.36147	0
200	1626	902	2.319194	0
200	1674	671	2.342645	0
200	1628	1076	2.408595	0
200	1710	959	2.396556	0
200	1480	985	2.41707	0
200	1453	877	2.989682	0
200	1569	952	2.356363	0
200	1886	859	2.563072	0
200	1505	863	2.326816	0
200	1593	1023	2.565257	0
200	1407	869	2.353363	0
200	1638	1011	2.26395	0
200	1794	1371	2.372442	0
200	1834	1126	2.338813	0
200	1608	966	2.384474	0
200	1423	752	2.776224	0
200	1467	765	2.26582	0
200	1480	842	2.393555	0
200	1429	748	2.24141	0
200	1437	958	2.331392	0
200	1653	964	2.278228	0
200	1525	956	2.490064	0
200	1661	909	2.440225	0
200	1532	1022	2.24247	0
200	1423	857	2.450637	0
200	1604	988	2.396438	0
200	1828	1332	2.800655	0
200	1486	824	2.408668	0
200	1661	1115	2.410362	0
200	1617	1055	2.383567	0
200	1504	877	3.004655	0
200	1423	954	2.947498	0
200	1387	793	2.419322	0
200	1530	963	2.367155	0
200	1375	770	2.257379	0
200	1463	849	2.232676	0
200	1373	836	2.251674	0
200	1589	898	2.342295	0
200	1579	949	2.334777	0
200	1541	819	2.156121	0
200	1596	846	2.096207	0
200	1579	884	2.124505	0
200	1641	816	2.081289	0
200	1669	926	2.125039	0
200	1738	1012	2.092279	0
200	1465	818	2.105229	0
200	2051	1091	2.112428	0
200	1446	955	2.089759	0
200	1604	943	2.131186	0
200	1662	1075	2.105326	0
200	1645	819	2.109096	0
200	1910	810	2.118153	0
200	1438	899	2.135255	0
200	1616	1039	2.098822	0
200	1735	1062	2.123325	0
200	1530	946	2.076122	0
200	1573	978	2.131049	0
200	1664	1032	2.081154	0
200	1685	849	2.10091	0
200	1429	1008	2.119736	0
200	1535	917	2.107129	0
200	1521	802	2.111545	0
200	1459	995	2.078639	0
200	1389	753	2.127983	0
200	1531	907	2.089831	0
200	1444	899	2.103959	0
200	1684	933	2.082419	0
200	1486	926	2.117326	0
200	1426	778	2.095333	0
200	1607	941	2.112602	0
200	1779	1095	2.080301	0
200	1610	840	2.101234	0
