n	avg(c)	avg(s)	avg(t)	avg(m)
100	541,89	672	2,77095921	62936
200	1281,19	1544	2,77938095	62936
300	2098,28	2488	2,4978906	62936
400	2962,68	3488	2,38839432	62936
500	3854,33	4488	2,38132662	62936
600	4792,67	5576	2,50945872	62936
700	5750,3	6676	2,42948421	62936
800	6720,43	7776	2,46383517	62936
900	7710,65	8876	2,63064829	126088
1000	8705,77	9976	2,73139831	125872
1100	9740,04	11152	2,600352	125880
1200	10782,36	12352	2,71633117	125872
1300	11835,13	13552	3,08981375	125944
1400	12891,62	14752	3,14570969	125880
1500	13956,17	15952	2,56240678	125912
1600	15045,99	17152	2,60272995	132320
1700	16127,13	18352	2,5701234	191352
1800	17219,31	19552	2,77685613	189032
1900	18312,62	20752	3,39435276	188808
2000	19414,94	21952	2,84522247	188808
2100	20532,23	23204	2,8308582	188816
2200	21669,82	24504	2,7024775	191056
2300	22821,66	25804	2,88163898	194000
2400	23963,47	27104	3,14687537	254208
2500	25112,03	28404	3,19899742	251904
2600	26274,16	29704	3,43997196	252136
2700	27420,82	31004	3,17175575	252072
2800	28590,63	32304	2,80664921	251752
2900	29757,76	33604	2,8400298	251832
3000	30921,98	34904	2,78843624	257800
3100	32093,17	36204	2,80255388	320872
3200	33278,8	37504	3,2132398	274256
3300	34464,76	38804	3,54066957	317960
3400	35653,16	40104	3,48174326	317272
3500	36836,99	41404	3,67417375	315984
3600	38031,94	42704	3,93060068	314936
3700	39230,31	44004	3,08642353	322104
3800	40417,95	45304	2,87994343	330856
3900	41621,53	46604	2,91255824	334296
4000	42822,37	47904	2,91917074	379616
4100	44022,86	49208	2,94187396	378104
4200	45265,4	50608	3,10993868	380520
4300	46504,84	52008	3,35190486	377848
4400	47748,6	53408	3,96062418	388808
4500	48987,57	54808	4,22317585	396776
4600	50240,81	56208	3,7298203	464152
4700	51478,88	57608	3,77078533	454928
4800	52734,29	59008	3,2079137	443712
4900	53981,25	60408	3,34490438	441784
5000	55230,01	61808	3,48476422	441168
5100	56470,02	63208	3,49659401	453688
5200	57728,41	64608	3,18584295	462496
5300	58995,25	66008	3,182619	473248
5400	60256,94	67408	3,4631795	507424
5500	61513,28	68808	3,37212048	503512
5600	62778,64	70208	3,85248624	504040
5700	64035,03	71608	4,048088	515240
5800	65313,01	73008	3,96056423	527288
5900	66559,98	74408	4,38500493	527536
6000	67844	75808	4,02256409	539968
6100	69106,97	77208	4,0528086	546528
6200	70378,96	78608	4,05429833	554728
6300	71658,86	80008	4,09441605	563664
6400	72955,12	81408	3,60066419	574200
6500	74236,43	82808	3,41941577	586728
6600	75525,18	84208	3,53062149	596136
6700	76811,7	85608	3,84059192	637288
6800	78107,01	87008	4,00009057	613328
6900	79388,77	88408	3,76478273	633712
7000	80684,45	89808	3,78408933	639496
7100	81976,92	91208	3,9981476	647656
7200	83258,75	92608	3,87456389	707560
7300	84559,77	94008	4,1347326	660680
7400	85850,38	95408	4,52301231	668392
7500	87155,73	96808	3,70264022	674680
7600	88449,85	98208	4,28881016	684576
7700	89737,19	99608	4,31979795	693152
7800	91056,06	101008	4,56092905	700560
7900	92347,51	102408	4,60034645	720432
8000	93641,83	103808	4,29106356	726568
8100	94942,81	105208	4,18616542	730408
8200	96239,68	106616	3,71293016	736384
8300	97587,59	108116	4,16866889	742480
8400	98931,14	109616	4,18592332	754128
8500	100268,95	111116	4,32344741	774904
8600	101608,27	112616	4,43946879	837832
8700	102943,51	114116	4,55199462	790232
8800	104288,81	115616	4,31431918	802424
8900	105636,15	117116	4,20862465	810864
9000	106970,49	118616	4,3860714	819664
9100	108315,8	120116	4,99318145	836456
9200	109668,82	121616	4,40371553	865368
9300	111018,07	123116	3,98775765	865536
9400	112353,89	124616	4,77647846	871592
9500	113704,54	126116	4,4507757	873040
9600	115058,66	127616	4,47464691	883888
9700	116398,3	129116	4,94634491	905824
9800	117748,08	130616	4,82718993	903792
9900	119108,33	132116	4,58794709	919144
10000	120447,87	133616	4,86438883	922704
