n	avg(c)	avg(s)	avg(t)	avg(m)
100	640,39	285,78	2,52388969	62936
200	1528,53	650,94	2,595083	62936
300	2533,59	1082,3	2,52055631	22656,96
400	3597,93	1477,54	2,61450131	0
500	4717,27	1904,27	2,47711768	0
600	5770,75	2374,06	2,86166045	0
700	7073,29	2764,11	2,73244089	0
800	8208,23	3275,69	2,7178645	0
900	9396,86	3787,36	2,61247011	0
1000	10598,94	4247,9	2,67476807	0
1100	11948,33	4685,45	2,72945578	0
1200	13245,96	5271,9	2,82981556	0
1300	14546,46	5763,04	2,80291028	0
1400	15889,63	6162,98	2,57329917	0
1500	17197,31	6666,7	2,50053181	0
1600	18594,54	7173,83	2,59200701	0
1700	19936,91	7736,02	2,73462026	0
1800	21273,12	8222,34	2,79915341	0
1900	22691,86	8847,09	2,89667492	0
2000	24065,51	9268,98	2,68710762	0
2100	25540,17	9754,58	2,73845038	0
2200	26701,98	10136,35	3,12632931	0
2300	27981,21	10850,36	3,09873413	0
2400	29791,64	11513,91	3,35274693	0
2500	30885,36	11833,15	3,13289551	0
2600	32414,87	12547,11	3,18108113	0
2700	33972,61	13022,35	3,253333	0
2800	35227,32	13467,06	3,20949396	0
2900	36757,91	14100,82	3,04799187	52866,24
3000	38289,92	14613	3,67749573	62936
3100	39679,34	15180,41	2,81184018	62936
3200	41317,34	15739,12	2,86715868	62936
3300	42549,72	16386,23	2,86051121	62936
3400	44205,28	16864,14	3,33803775	62936
3500	45714,65	17416,22	3,00080504	62936
3600	46874,86	18035,24	2,9891588	62936
3700	48599,65	18572,38	3,28722573	62936
3800	50351,55	19015,28	3,01210482	62936
3900	51690,64	19533,62	2,92302083	62936
4000	53098,83	20314,76	3,06449177	62936
4100	54898,24	20819,31	3,31438948	62936
4200	56709,86	21214,88	3,19103827	62936
4300	57885,86	21840,97	3,61122254	62936
4400	59268,2	22120,43	3,62975704	62936
4500	60776,11	23037,34	3,89153976	62936
4600	62636,92	23612,99	4,03034373	62936
4700	64113,14	24375,56	3,9626802	62936
4800	65680,33	24687,16	3,77679661	62936
4900	67477,59	25256,05	3,93895628	62936
5000	68516,9	25945,84	3,6582527	62936
5100	70444,9	26750,65	3,40252349	62936
5200	71539,77	27209,21	3,26602682	62936
5300	73382,45	27671,84	3,6329504	62936
5400	74818,69	28264,8	3,77390326	62936
5500	76067,38	28858,05	3,15123172	62936
5600	77870,18	29538,74	3,60933166	62936
5700	80161,17	30220,97	3,59857385	62936
5800	81600,47	30437,73	3,61572904	62936
5900	82972,75	31407,13	4,25390528	62936
6000	84209,58	31473,92	3,7875842	62936
6100	85926,75	32137,54	3,78803623	62936
6200	86907,1	33123,87	3,9457105	62936
6300	89116,52	33610,03	3,64421917	62936
6400	90899,19	34010,12	3,1607416	62936
6500	92175,88	34812,63	3,67057942	96921,44
6600	93880,94	35088,02	3,69141198	125872
6700	96115,63	36408,02	3,6462654	125872
6800	97488,8	36647,51	3,46887175	125872
6900	98744,13	37353,8	3,51152556	125872
7000	100717	37368,73	3,9972333	125872
7100	101742,56	38589,07	3,92218908	125872
7200	103054,42	38593,19	4,10932565	125872
7300	105135,5	39506,4	3,92539438	125872
7400	107190,16	40163,31	3,89573935	125872
7500	108493,37	40460,62	3,84375714	125872
7600	111085,72	41567	3,47084698	125872
7700	112383,39	42221,13	3,37635486	125872
7800	114083,86	43064,12	4,06197727	125872
7900	115388,57	43217,88	4,28596034	125872
8000	116776,43	43676,37	3,77643941	125872
8100	118527,2	44398,44	3,92798926	125872
8200	120087,71	44981,45	3,81302642	125872
8300	121907,26	45786,29	4,18665114	125872
8400	122352,04	45945,61	3,83714321	125872
8500	125851,41	46742,8	4,35911729	125872
8600	127149,43	47622,71	4,31020654	125872
8700	127827,05	47628,55	4,38063908	125872
8800	130351,44	48818,51	4,56998771	125872
8900	132029,1	49214,98	4,45106143	125872
9000	132957,83	49977,23	4,61080256	125872
9100	135311,91	49897,09	4,51224825	125872
9200	137391,74	51217,83	3,86891191	125872
9300	138819,86	52457,9	3,71948781	125872
9400	139942,86	52783,54	3,87588408	125872
9500	142958,51	53284,29	4,49400605	125872
9600	142690,5	53632,73	4,44703866	125872
9700	144939,84	53973,21	3,99555339	125872
9800	146919,93	54834,09	4,39215529	125872
9900	148172,43	55176,99	4,70740597	125872
10000	151216,45	56378,92	4,1241764	125872
