n:	 c:	 s:	
100	242	139
100	374	249
100	213	141
100	239	83
100	173	84
100	294	195
100	235	111
100	366	195
100	203	96
100	225	117
100	311	195
100	207	119
100	344	251
100	235	148
100	502	325
100	390	208
100	242	125
100	198	94
100	275	166
100	351	226
100	224	141
100	324	214
100	298	183
100	208	44
100	195	86
100	280	141
100	251	108
100	420	301
100	204	84
100	140	58
100	282	183
100	439	288
100	182	99
100	133	39
100	235	128
100	243	136
100	488	403
100	178	74
100	200	102
100	122	39
100	240	40
100	494	380
100	428	265
100	380	91
100	214	89
100	237	154
100	297	217
100	304	233
100	194	113
100	329	241
100	297	115
100	254	151
100	328	241
100	202	105
100	202	106
100	298	224
100	195	107
100	215	95
100	212	112
100	400	244
100	177	86
100	508	434
100	198	99
100	273	166
100	193	80
100	170	73
100	261	176
100	207	139
100	179	79
100	288	98
100	199	104
100	215	134
100	323	244
100	376	197
100	136	49
100	420	286
100	116	34
100	405	276
100	258	172
100	167	70
100	214	112
100	145	57
100	271	112
100	146	70
100	256	99
100	208	104
100	254	165
100	219	104
100	338	180
100	266	197
100	172	77
100	280	33
100	187	90
100	390	234
100	279	180
100	330	186
100	349	280
100	247	175
100	362	264
100	242	156
100	184	64
100	311	229
100	264	96
100	145	56
100	403	294
100	393	273
100	214	92
100	259	168
100	260	176
100	199	109
100	336	243
100	204	101
100	263	165
100	493	385
100	402	317
100	273	119
100	300	134
100	250	161
100	312	165
100	270	117
100	356	179
100	231	149
100	241	163
100	252	140
100	150	68
100	420	246
100	248	143
100	308	193
100	172	99
100	151	63
100	380	273
100	210	90
100	466	323
100	313	211
100	367	249
100	272	172
100	272	149
100	367	281
100	233	136
100	278	104
100	481	337
100	465	362
100	309	223
100	313	183
100	199	111
100	186	86
100	289	210
100	275	176
100	203	109
100	266	174
100	189	72
100	220	124
100	309	228
100	142	47
100	137	61
100	310	213
100	457	215
100	302	137
100	242	142
100	239	137
100	238	153
100	170	63
100	359	212
100	290	109
100	252	131
100	304	212
100	365	244
100	242	160
100	149	58
100	312	220
100	165	72
100	263	170
100	375	194
100	263	185
100	231	143
100	255	174
100	192	95
100	203	114
100	380	282
100	400	230
100	149	67
100	281	134
100	186	96
100	441	251
100	263	166
100	391	276
100	331	246
100	117	39
100	249	146
100	208	81
100	148	51
100	161	86
100	202	106
100	348	181
100	356	256
100	261	179
100	152	45
100	324	241
100	158	73
100	316	206
100	336	241
100	413	224
100	334	200
100	354	184
100	323	135
100	362	257
100	227	154
100	297	134
100	197	117
100	235	147
100	365	270
100	245	115
100	142	46
100	209	105
100	297	217
100	405	318
100	366	227
100	341	252
100	242	143
100	352	82
100	185	20
100	301	175
100	257	155
100	232	123
100	328	242
100	222	110
100	242	160
100	191	120
100	215	96
100	295	217
100	225	140
100	275	167
100	125	41
100	181	110
100	322	241
100	310	123
100	399	320
100	394	243
100	341	65
100	160	59
100	390	250
100	352	192
100	378	252
100	363	165
100	248	174
100	168	82
100	350	245
100	319	238
100	293	161
100	323	63
100	279	146
100	210	88
100	115	34
100	280	167
100	404	259
100	339	141
100	145	60
100	300	123
100	243	169
100	330	247
100	344	232
100	331	184
100	199	126
100	217	123
