n:	 c:	 s:	
100	389	421
100	354	376
100	343	344
100	375	402
100	348	373
100	377	409
100	339	350
100	386	411
100	344	351
100	381	403
100	342	357
100	369	390
100	355	379
100	332	349
100	404	435
100	342	360
100	398	426
100	362	379
100	364	388
100	336	361
100	336	358
100	349	374
100	386	409
100	367	392
100	375	398
100	341	351
100	383	387
100	368	387
100	404	438
100	342	341
100	372	395
100	382	411
100	374	403
100	385	416
100	360	375
100	384	408
100	360	373
100	397	440
100	368	383
100	373	401
100	346	349
100	391	431
100	366	382
100	368	400
100	372	401
100	396	442
100	371	379
100	362	394
100	385	415
100	372	395
100	319	323
100	365	377
100	424	467
100	325	328
100	375	395
100	373	399
100	351	370
100	420	458
100	358	362
100	347	368
100	356	379
100	387	416
100	391	421
100	390	421
100	346	369
100	359	385
100	396	433
100	404	433
100	337	340
100	403	444
100	384	409
100	362	379
100	377	410
100	338	356
100	362	383
100	354	380
100	367	374
100	398	425
100	358	371
100	352	363
100	352	375
100	388	432
100	337	339
100	367	399
100	338	339
100	376	400
100	404	448
100	395	433
100	382	411
100	381	415
100	318	338
100	405	449
100	385	423
100	357	385
100	357	387
100	376	408
100	401	436
100	380	400
100	374	406
100	402	447
100	397	431
100	419	452
100	385	406
100	371	380
100	384	415
100	384	409
100	387	416
100	365	376
100	312	320
100	362	378
100	354	370
100	386	421
100	390	414
100	338	367
100	369	395
100	342	351
100	389	422
100	359	387
100	393	431
100	331	346
100	357	383
100	343	360
100	367	394
100	352	377
100	405	428
100	361	376
100	356	370
100	381	411
100	375	406
100	340	342
100	377	400
100	350	364
100	352	372
100	377	391
100	328	336
100	343	356
100	375	401
100	386	417
100	393	410
100	393	417
100	385	417
100	406	442
100	373	399
100	354	374
100	356	374
100	356	369
100	404	450
100	351	365
100	357	372
100	434	480
100	388	415
100	384	413
100	396	425
100	368	388
100	382	409
100	400	433
100	376	391
100	390	423
100	393	418
100	368	380
100	372	399
100	386	407
100	357	370
100	362	368
100	415	472
100	348	359
100	382	392
100	420	474
100	359	399
100	407	460
100	343	349
100	360	379
100	380	408
100	370	398
100	324	331
100	400	430
100	354	379
100	371	393
100	358	384
100	375	396
100	359	380
100	348	363
100	364	389
100	450	496
100	412	450
100	327	346
100	381	393
100	315	315
100	406	444
100	411	446
100	369	391
100	351	376
100	402	432
100	368	384
100	340	357
100	377	407
100	360	365
100	365	377
100	356	380
100	367	371
100	398	414
100	328	338
100	349	360
100	343	352
100	380	396
100	387	408
100	339	344
100	371	402
100	400	435
100	353	365
100	382	414
100	358	360
100	372	391
100	355	378
100	399	428
100	361	365
100	380	418
100	359	364
100	392	412
100	403	439
100	377	390
100	438	484
100	389	425
100	378	395
100	399	439
100	403	439
100	404	424
100	383	415
100	401	436
100	410	450
100	449	494
100	367	392
100	370	413
100	385	419
100	359	374
100	368	394
100	404	432
100	376	409
100	393	412
100	371	386
100	363	392
100	419	471
100	415	465
100	364	383
100	371	380
100	365	400
100	368	389
100	344	348
100	358	380
100	390	437
100	388	419
100	341	366
100	408	447
100	378	410
100	379	400
100	391	408
100	377	403
100	394	422
100	370	374
100	395	423
100	332	329
100	355	366
100	347	357
100	375	412
100	397	435
100	375	405
100	402	434
100	396	434
100	376	400
100	384	405
100	351	368
100	394	427
100	378	397
100	413	455
100	394	425
100	370	389
100	401	440
100	358	372
100	379	410
100	347	358
100	389	410
100	366	398
100	370	402
100	389	414
100	352	369
100	393	417
100	384	412
100	367	391
100	388	424
100	379	400
100	338	361
100	338	360
100	332	344
100	353	357
100	383	413
100	342	345
100	378	416
100	388	411
100	388	417
100	386	414
100	383	411
100	387	415
100	400	438
100	390	426
100	383	418
100	362	390
100	361	377
100	359	378
100	378	394
100	365	393
100	372	394
100	349	371
100	351	361
100	383	412
100	377	407
100	361	369
100	396	433
100	347	352
100	370	397
100	350	368
100	393	431
100	385	409
100	322	343
100	391	429
100	386	418
100	367	382
100	375	403
100	346	344
100	366	373
100	397	435
100	371	405
100	390	414
100	375	393
100	390	429
100	374	400
100	390	420
100	371	381
100	407	438
100	366	387
100	348	371
100	353	385
100	396	427
100	353	382
100	386	414
100	363	388
100	359	382
100	392	419
100	376	403
100	373	393
100	381	422
100	344	360
100	389	410
100	373	386
100	352	366
100	392	412
100	384	414
100	348	359
100	385	406
100	374	400
100	426	486
100	332	346
100	351	369
100	388	407
100	338	354
100	379	413
100	384	393
100	375	403
100	340	362
100	372	412
100	379	399
100	410	454
100	368	393
100	381	406
100	370	388
100	345	368
100	352	376
100	377	406
100	387	399
100	367	382
100	361	388
100	375	398
100	382	423
100	411	449
100	419	453
100	385	394
100	350	357
100	405	439
100	352	365
100	362	369
100	413	443
100	317	320
100	363	385
100	387	407
100	387	416
100	376	416
100	379	404
100	368	394
100	396	433
100	369	379
100	345	367
100	349	364
100	357	371
100	372	388
100	367	395
100	404	438
100	388	411
100	397	438
100	370	395
100	383	413
100	375	404
100	368	410
100	317	324
100	352	361
100	354	360
100	391	416
100	389	412
100	427	466
100	366	379
100	353	366
100	349	356
100	344	349
100	392	412
100	408	452
100	352	361
100	391	423
100	401	444
100	375	386
100	387	420
100	407	446
100	391	432
100	354	373
100	344	366
100	343	354
100	327	339
100	363	382
100	384	404
100	392	420
100	382	408
100	423	466
100	368	388
100	405	426
100	379	399
100	371	391
100	384	424
100	391	435
100	403	427
100	397	435
100	344	350
100	370	405
100	376	390
100	380	410
100	367	399
100	407	453
100	362	386
100	360	386
100	363	374
100	371	389
100	347	353
100	342	347
100	341	353
100	361	379
100	398	437
100	378	409
100	351	359
100	377	414
100	392	430
100	369	375
100	403	432
100	367	400
100	402	429
100	379	424
100	376	405
100	323	337
100	385	418
100	379	412
100	417	467
100	368	374
100	344	348
100	354	377
100	352	373
100	382	414
100	370	391
100	424	458
100	354	375
100	396	433
100	370	380
100	383	421
100	426	489
100	374	406
100	399	430
100	348	365
100	320	323
100	343	350
100	396	424
100	383	406
100	405	457
100	370	402
100	394	432
100	348	363
100	399	428
100	334	343
100	374	402
100	403	443
100	325	334
100	387	425
100	356	378
100	356	361
100	393	421
100	350	374
100	405	442
100	372	408
100	386	422
100	407	443
100	367	384
100	378	394
100	375	405
100	392	423
100	394	414
100	353	364
100	383	408
100	362	372
100	399	435
100	352	365
100	359	385
100	357	392
100	391	416
100	390	434
100	355	370
100	370	397
100	374	387
100	321	338
100	348	348
100	367	391
100	366	400
100	382	413
100	382	406
100	399	444
100	371	396
100	361	382
100	415	460
100	392	430
100	365	368
100	419	460
100	343	351
100	405	431
100	370	374
100	359	368
100	370	403
100	359	390
100	383	418
100	417	469
100	380	421
100	381	397
100	384	401
100	404	439
100	409	454
100	377	398
100	400	441
100	412	455
100	332	338
100	364	378
100	360	377
100	386	404
100	379	402
100	383	400
100	370	392
100	402	438
100	408	447
100	363	375
100	403	445
100	353	374
100	341	355
100	378	407
100	393	421
100	335	355
100	400	451
100	400	424
100	414	471
100	423	483
100	374	401
100	334	344
100	381	408
100	359	383
100	359	374
100	398	420
100	368	374
100	378	409
100	362	398
100	370	389
100	409	449
100	378	407
100	389	436
100	326	338
100	395	430
100	386	423
100	363	368
100	367	393
100	376	395
100	401	438
100	373	399
100	379	402
100	366	388
100	359	391
100	335	341
100	400	438
100	396	425
100	383	402
100	358	377
100	406	450
100	404	443
100	389	408
100	393	424
100	390	422
100	402	421
100	375	417
100	342	335
100	396	432
100	338	341
100	397	428
100	339	338
100	407	445
100	377	403
100	335	346
100	375	400
100	353	386
100	395	435
100	347	353
100	375	408
100	348	366
100	381	425
100	362	395
100	364	383
100	385	399
100	388	414
100	386	418
100	422	464
100	376	412
100	419	474
100	355	380
100	342	358
100	328	334
100	387	428
100	366	382
100	368	375
100	407	446
100	395	423
100	376	400
100	347	359
100	385	401
100	363	367
100	398	428
100	382	394
100	368	385
100	392	434
100	383	403
100	354	351
100	374	394
100	318	319
100	394	429
100	388	417
100	376	394
100	386	429
100	340	352
100	369	382
100	370	391
100	417	461
100	336	361
100	326	335
100	349	379
100	336	340
