n	avg(c)
1000	17,5
2000	19,4
3000	20,82
4000	21,65
5000	22,43
6000	22,49
7000	22,69
8000	22,82
9000	23,89
10000	23,79
11000	24,39
12000	24,51
13000	25,08
14000	24,99
15000	25,4
16000	25,99
17000	25,33
18000	26,18
19000	26,29
20000	26,04
21000	26,32
22000	26,4
23000	26,42
24000	26,2
25000	26,29
26000	27,61
27000	26,97
28000	27,26
29000	27
30000	27,19
31000	27,03
32000	27,36
33000	27,68
34000	27,34
35000	28,1
36000	27,46
37000	28,24
38000	28,56
39000	28,36
40000	27,82
41000	28,98
42000	28,37
43000	28,09
44000	28,15
45000	28,36
46000	28,74
47000	28,56
48000	28,72
49000	28,72
50000	28,54
51000	28,97
52000	28,55
53000	28,72
54000	29,05
55000	28,34
56000	28,95
57000	29,06
58000	28,62
59000	29,57
60000	28,86
61000	28,95
62000	29,04
63000	29,31
64000	29,16
65000	29,48
66000	29,59
67000	29,46
68000	29,91
69000	29,8
70000	30,26
71000	29,34
72000	30,11
73000	29,84
74000	29,78
75000	30,08
76000	30,22
77000	29,91
78000	29,57
79000	30,25
80000	29,94
81000	30,27
82000	30,37
83000	30,63
84000	29,98
85000	30,34
86000	30,78
87000	30,67
88000	30,44
89000	30,54
90000	30,52
91000	30,47
92000	30,69
93000	30,87
94000	31,19
95000	30,27
96000	30,62
97000	30,42
98000	30,98
99000	30,47
100000	31
Suma koäcowa	27,9673
