n:	 c:	
1000	20
1000	20
1000	19
1000	20
1000	15
1000	11
1000	20
1000	20
1000	9
1000	17
1000	20
1000	9
1000	20
1000	19
1000	9
1000	20
1000	19
1000	20
1000	19
1000	20
1000	20
1000	20
1000	20
1000	20
1000	17
1000	20
1000	20
1000	20
1000	15
1000	17
1000	19
1000	19
1000	17
1000	20
1000	20
1000	20
1000	19
1000	20
1000	19
1000	13
1000	15
1000	11
1000	11
1000	17
1000	13
1000	17
1000	15
1000	20
1000	20
1000	17
1000	17
1000	17
1000	17
1000	7
1000	11
1000	15
1000	20
1000	20
1000	11
1000	19
1000	19
1000	19
1000	17
1000	20
1000	15
1000	17
1000	11
1000	17
1000	20
1000	20
1000	20
1000	20
1000	13
1000	17
1000	13
1000	19
1000	17
1000	20
1000	19
1000	20
1000	19
1000	19
1000	20
1000	20
1000	20
1000	17
1000	19
1000	19
1000	17
1000	20
1000	17
1000	17
1000	13
1000	20
1000	20
1000	20
1000	18
1000	17
1000	17
1000	17
2000	17
2000	22
2000	22
2000	13
2000	22
2000	21
2000	21
2000	21
2000	17
2000	19
2000	17
2000	22
2000	19
2000	22
2000	22
2000	13
2000	21
2000	19
2000	22
2000	22
2000	17
2000	22
2000	19
2000	13
2000	15
2000	17
2000	19
2000	11
2000	17
2000	19
2000	22
2000	22
2000	21
2000	22
2000	22
2000	22
2000	17
2000	21
2000	21
2000	22
2000	19
2000	19
2000	19
2000	21
2000	11
2000	15
2000	21
2000	22
2000	21
2000	22
2000	15
2000	22
2000	22
2000	17
2000	19
2000	21
2000	22
2000	22
2000	22
2000	19
2000	19
2000	17
2000	22
2000	21
2000	19
2000	22
2000	21
2000	15
2000	15
2000	19
2000	20
2000	22
2000	17
2000	19
2000	15
2000	22
2000	22
2000	22
2000	19
2000	17
2000	15
2000	21
2000	22
2000	22
2000	22
2000	22
2000	21
2000	17
2000	11
2000	21
2000	19
2000	22
2000	19
2000	22
2000	17
2000	22
2000	21
2000	19
2000	13
2000	21
3000	15
3000	23
3000	21
3000	23
3000	24
3000	19
3000	19
3000	24
3000	24
3000	24
3000	17
3000	19
3000	24
3000	21
3000	17
3000	19
3000	24
3000	22
3000	17
3000	21
3000	15
3000	22
3000	24
3000	19
3000	21
3000	23
3000	24
3000	22
3000	22
3000	22
3000	21
3000	21
3000	19
3000	22
3000	23
3000	15
3000	22
3000	21
3000	21
3000	24
3000	21
3000	21
3000	22
3000	24
3000	19
3000	22
3000	19
3000	24
3000	21
3000	24
3000	19
3000	17
3000	24
3000	24
3000	21
3000	24
3000	24
3000	24
3000	17
3000	15
3000	17
3000	19
3000	24
3000	24
3000	23
3000	19
3000	19
3000	22
3000	22
3000	19
3000	21
3000	24
3000	21
3000	24
3000	21
3000	19
3000	19
3000	17
3000	17
3000	22
3000	11
3000	24
3000	21
3000	21
3000	22
3000	15
3000	22
3000	19
3000	19
3000	19
3000	19
3000	24
3000	23
3000	17
3000	23
3000	19
3000	24
3000	24
3000	15
3000	22
4000	23
4000	21
4000	23
4000	19
4000	21
4000	24
4000	23
4000	24
4000	24
4000	17
4000	24
4000	19
4000	15
4000	13
4000	21
4000	24
4000	24
4000	24
4000	21
4000	24
4000	21
4000	24
4000	23
4000	24
4000	21
4000	23
4000	24
4000	19
4000	24
4000	23
4000	24
4000	13
4000	24
4000	23
4000	24
4000	17
4000	21
4000	24
4000	19
4000	19
4000	23
4000	19
4000	19
4000	23
4000	21
4000	24
4000	21
4000	21
4000	23
4000	19
4000	21
4000	21
4000	23
4000	23
4000	24
4000	11
4000	17
4000	24
4000	24
4000	21
4000	21
4000	21
4000	23
4000	21
4000	24
4000	21
4000	21
4000	17
4000	23
4000	23
4000	24
4000	15
4000	24
4000	21
4000	19
4000	23
4000	24
4000	24
4000	19
4000	22
4000	24
4000	24
4000	24
4000	23
4000	24
4000	24
4000	24
4000	24
4000	24
4000	21
4000	21
4000	21
4000	24
4000	23
4000	21
4000	24
4000	21
4000	15
4000	21
4000	24
5000	24
5000	21
5000	21
5000	24
5000	24
5000	15
5000	19
5000	26
5000	26
5000	21
5000	24
5000	23
5000	25
5000	17
5000	19
5000	23
5000	25
5000	23
5000	23
5000	24
5000	23
5000	21
5000	15
5000	26
5000	21
5000	19
5000	21
5000	19
5000	24
5000	21
5000	25
5000	24
5000	11
5000	23
5000	24
5000	19
5000	13
5000	26
5000	23
5000	24
5000	26
5000	25
5000	23
5000	26
5000	17
5000	24
5000	24
5000	23
5000	23
5000	19
5000	21
5000	23
5000	24
5000	23
5000	26
5000	26
5000	23
5000	24
5000	24
5000	24
5000	26
5000	24
5000	23
5000	19
5000	24
5000	23
5000	24
5000	23
5000	15
5000	25
5000	23
5000	24
5000	23
5000	23
5000	21
5000	23
5000	24
5000	23
5000	24
5000	25
5000	21
5000	21
5000	24
5000	21
5000	24
5000	21
5000	23
5000	26
5000	24
5000	26
5000	21
5000	25
5000	21
5000	23
5000	25
5000	21
5000	21
5000	19
5000	17
5000	23
6000	21
6000	26
6000	26
6000	26
6000	19
6000	26
6000	19
6000	15
